group,features,instance,state,selected_action,fixed_action,selected_utility,fixed_utility,random_utility,hindsight_oracle_utility,prediction_seconds
C,simple,Mk04,Mk04-22-1,0.25-N5-b4,0.25-N5-b4,0.0020659105086917517,0.0020659105086917517,0.00042235109764329634,0.0025583360410869047,0.0002564000001257227
C,cross,Mk04,Mk04-22-1,0.25-N5-b4,0.25-N5-b4,0.0020659105086917517,0.0020659105086917517,0.00042235109764329634,0.0025583360410869047,0.00041080000005422335
C,simple,Mk04,Mk04-22-2,0.25-N6-b4,0.25-N5-b4,0.0,0.001198771006497137,0.00026571638944978166,0.0013997683240146942,0.0002597999998670275
C,cross,Mk04,Mk04-22-2,0.5-N3-b4,0.25-N5-b4,1.2672628259849557e-05,0.001198771006497137,0.00026571638944978166,0.0013997683240146942,0.00047879999988253985
C,simple,Mk04,Mk04-33-0,0.25-N5-b4,0.25-N5-b4,0.0009293992345533464,0.0009293992345533464,0.0004631515853681137,0.0016419606889524591,0.00038180000001375447
C,cross,Mk04,Mk04-33-0,0.5-N5-b4,0.25-N5-b4,0.0012004737356985957,0.0009293992345533464,0.0004631515853681137,0.0016419606889524591,0.0005403000000114844
C,simple,Mk04,Mk04-33-1,0.5-N3-b4,0.25-N5-b4,0.001478935928113512,0.0016839585915132613,0.00043687727370140655,0.0017610230941306245,0.00031199999989439675
C,cross,Mk04,Mk04-33-1,0.5-N5-b4,0.25-N5-b4,0.0017610230941306245,0.0016839585915132613,0.00043687727370140655,0.0017610230941306245,0.0004264999997758423
C,simple,Mk04,Mk04-33-2,0.25-N6-b4,0.25-N5-b4,0.0,0.0007462436114656849,0.00024454094368531,0.001589082055836793,0.00034279999999853317
C,cross,Mk04,Mk04-33-2,0.25-N6-b4,0.25-N5-b4,0.0,0.0007462436114656849,0.00024454094368531,0.001589082055836793,0.0004177999999228632
C,simple,Mk05,Mk05-11-0,0.5-N2-b8,0.25-N5-b4,0.0,0.002516458733971891,0.00036529830723527917,0.002516458733971891,0.0002663999998731015
C,cross,Mk05,Mk05-11-0,0.5-N2-b8,0.25-N5-b4,0.0,0.002516458733971891,0.00036529830723527917,0.002516458733971891,0.00043209999989812786
C,simple,Mk05,Mk05-11-1,0.5-N2-b8,0.25-N5-b4,0.0,0.0021696950553762363,0.0003373585716219601,0.0021696950553762363,0.00026309999998375133
C,cross,Mk05,Mk05-11-1,0.5-N2-b8,0.25-N5-b4,0.0,0.0021696950553762363,0.0003373585716219601,0.0021696950553762363,0.0004370999999991909
C,simple,Mk05,Mk05-11-2,0.5-N2-b8,0.25-N5-b4,0.0,0.00023262611009684927,0.00019912918259244627,0.0009848538758653138,0.0002640000000155851
C,cross,Mk05,Mk05-11-2,0.5-N2-b8,0.25-N5-b4,0.0,0.00023262611009684927,0.00019912918259244627,0.0009848538758653138,0.0004297000000406115
C,simple,Mk05,Mk05-22-0,0.5-N2-b8,0.25-N5-b4,0.0,0.002569992557273912,0.0009581222141819977,0.004049471027793743,0.0002610000001368462
C,cross,Mk05,Mk05-22-0,0.5-N2-b8,0.25-N5-b4,0.0,0.002569992557273912,0.0009581222141819977,0.004049471027793743,0.00042950000010932854
C,simple,Mk05,Mk05-22-1,0.5-N2-b8,0.25-N5-b4,0.0,0.0016209720030420836,0.0005345249268205382,0.00168258691291669,0.0002666000000317581
C,cross,Mk05,Mk05-22-1,0.5-N2-b8,0.25-N5-b4,0.0,0.0016209720030420836,0.0005345249268205382,0.00168258691291669,0.00043249999998806743
C,simple,Mk05,Mk05-22-2,0.5-N2-b8,0.25-N5-b4,0.0,0.0029656342785002875,0.0005101896754831735,0.0029656342785002875,0.0002624999999625288
C,cross,Mk05,Mk05-22-2,0.5-N2-b8,0.25-N5-b4,0.0,0.0029656342785002875,0.0005101896754831735,0.0029656342785002875,0.0004283000000668835
C,simple,Mk05,Mk05-33-0,0.5-N2-b8,0.25-N5-b4,0.0,0.0012356865434627123,0.00022501786801169767,0.0013920211937442429,0.00026219999995191756
C,cross,Mk05,Mk05-33-0,0.5-N2-b8,0.25-N5-b4,0.0,0.0012356865434627123,0.00022501786801169767,0.0013920211937442429,0.0004297000000406115
C,simple,Mk05,Mk05-33-1,0.5-N2-b8,0.25-N5-b4,0.0,0.001245442590963226,0.00044859173393206375,0.002241168336074695,0.0002720999998473417
C,cross,Mk05,Mk05-33-1,0.5-N2-b8,0.25-N5-b4,0.0,0.001245442590963226,0.00044859173393206375,0.002241168336074695,0.00043149999987690535
C,simple,Mk05,Mk05-33-2,0.5-N2-b8,0.25-N5-b4,0.0,0.0006848358267054894,0.0005725233485053218,0.0018963441313468018,0.0002623999998832005
C,cross,Mk05,Mk05-33-2,0.5-N2-b8,0.25-N5-b4,0.0,0.0006848358267054894,0.0005725233485053218,0.0018963441313468018,0.0004286999999294494
