state,instance,seed,generation,fraction,k,n,b,rep,group,action,rng_seed,region_seconds,attempts,evaluated,outside,noop,duplicate,decodes,gain,gain_per_decode,gain_per_budget,wall_seconds
Mk01-11-0,Mk01,11,0,0.25,14,3,4,2,R1,0.25-N3-b4,16702067774425293557,4.059999992023222e-05,27,4,20,0,3,4,0.0019314945852898294,0.00048287364632245734,0.00048287364632245734,0.003883399999949688
Mk01-11-0,Mk01,11,0,0.25,14,3,4,2,S,0.25-N3-b4,16702067774425293557,3.0599999945479794e-05,28,4,24,0,0,4,0.0,0.0,0.0,0.004418400000076872
Mk01-11-0,Mk01,11,0,0.25,14,3,4,2,A,0.25-N3-b4,16702067774425293557,3.100000003541936e-05,27,4,22,0,1,4,0.0026317918788482907,0.0006579479697120727,0.0006579479697120727,0.0038366999999652762
Mk01-11-0,Mk01,11,0,0.25,14,3,4,2,C,0.25-N3-b4,16702067774425293557,2.390000008745119e-05,43,4,38,0,1,4,0.003485477683842178,0.0008713694209605445,0.0008713694209605445,0.00427270000000135
Mk01-11-0,Mk01,11,0,0.25,14,3,4,3,R0,0.25-N3-b4,10729516434146336519,2.7399999908084283e-05,16,4,12,0,0,4,0.006764765951338113,0.0016911914878345283,0.0016911914878345283,0.0035960999999815613
Mk01-11-0,Mk01,11,0,0.25,14,3,4,3,R1,0.25-N3-b4,10729516434146336519,4.139999998642452e-05,22,4,17,0,1,4,0.006181332267662576,0.001545333066915644,0.001545333066915644,0.004225900000051297
Mk01-11-0,Mk01,11,0,0.25,14,3,4,3,S,0.25-N3-b4,10729516434146336519,3.260000005411712e-05,25,4,20,0,1,4,3.262659772449404e-05,8.15664943112351e-06,8.15664943112351e-06,0.003836399999954665
Mk01-11-0,Mk01,11,0,0.25,14,3,4,3,A,0.25-N3-b4,10729516434146336519,2.4599999960628338e-05,17,4,13,0,0,4,0.010920993232180843,0.0027302483080452107,0.0027302483080452107,0.0035027999999783788
Mk01-11-0,Mk01,11,0,0.25,14,3,4,3,C,0.25-N3-b4,10729516434146336519,2.3199999986900366e-05,13,4,8,0,1,4,0.006181332267662576,0.001545333066915644,0.001545333066915644,0.0034296000000040294
Mk01-11-0,Mk01,11,0,0.25,14,3,8,0,R0,0.25-N3-b8,14483870710734720169,2.6599999955578824e-05,20,8,11,0,1,8,0.0044438467959884,0.00055548084949855,0.00055548084949855,0.008159900000009657
Mk01-11-0,Mk01,11,0,0.25,14,3,8,0,R1,0.25-N3-b8,14483870710734720169,5.4100000056678255e-05,43,8,31,0,4,8,0.012486434605616431,0.001560804325702054,0.001560804325702054,0.007286399999998139
Mk01-11-0,Mk01,11,0,0.25,14,3,8,0,S,0.25-N3-b8,14483870710734720169,2.5499999992462108e-05,51,8,39,0,4,8,0.003485477683842178,0.00043568471048027226,0.00043568471048027226,0.008262100000024475
Mk01-11-0,Mk01,11,0,0.25,14,3,8,0,A,0.25-N3-b8,14483870710734720169,3.049999997983832e-05,61,8,48,0,5,8,0.010920993232180843,0.0013651241540226053,0.0013651241540226053,0.009209900000087146
Mk01-11-0,Mk01,11,0,0.25,14,3,8,0,C,0.25-N3-b8,14483870710734720169,3.15000000910004e-05,112,8,97,0,7,8,0.0065063801852591075,0.0008132975231573884,0.0008132975231573884,0.009543499999949745
Mk01-11-0,Mk01,11,0,0.25,14,3,8,1,R0,0.25-N3-b8,2395749312522447517,2.9799999992974335e-05,55,8,41,0,6,8,0.00022028808774280338,2.7536010967850423e-05,2.7536010967850423e-05,0.009074499999996988
Mk01-11-0,Mk01,11,0,0.25,14,3,8,1,R1,0.25-N3-b8,2395749312522447517,5.530000009912328e-05,35,8,23,0,4,8,0.012486434605616431,0.001560804325702054,0.001560804325702054,0.007153100000095947
Mk01-11-0,Mk01,11,0,0.25,14,3,8,1,S,0.25-N3-b8,2395749312522447517,2.649999998993735e-05,72,8,50,0,14,8,0.000554652161316338,6.933152016454225e-05,6.933152016454225e-05,0.010461100000043189
Mk01-11-0,Mk01,11,0,0.25,14,3,8,1,A,0.25-N3-b8,2395749312522447517,3.759999992780649e-05,52,8,40,0,4,8,0.012487753582567615,0.0015609691978209518,0.0015609691978209518,0.007804400000054557
Mk01-11-0,Mk01,11,0,0.25,14,3,8,1,C,0.25-N3-b8,2395749312522447517,2.8399999905559525e-05,46,8,31,0,7,8,0.006181332267662576,0.000772666533457822,0.000772666533457822,0.00807400000007874
Mk01-11-0,Mk01,11,0,0.25,14,3,8,2,R0,0.25-N3-b8,16702067774425293557,3.049999997983832e-05,108,8,89,0,11,8,0.007628311080345189,0.0009535388850431487,0.0009535388850431487,0.009066399999937858
Mk01-11-0,Mk01,11,0,0.25,14,3,8,2,R1,0.25-N3-b8,16702067774425293557,4.460000002382003e-05,95,8,78,0,9,8,0.0019314945852898294,0.00024143682316122867,0.00024143682316122867,0.00921240000002399
Mk01-11-0,Mk01,11,0,0.25,14,3,8,2,S,0.25-N3-b8,16702067774425293557,3.090000006977789e-05,167,8,146,0,13,8,0.003485477683842178,0.00043568471048027226,0.00043568471048027226,0.011040400000069894
Mk01-11-0,Mk01,11,0,0.25,14,3,8,2,A,0.25-N3-b8,16702067774425293557,3.319999996165279e-05,59,8,43,0,8,8,0.003485477683842178,0.00043568471048027226,0.00043568471048027226,0.007852600000092025
Mk01-11-0,Mk01,11,0,0.25,14,3,8,2,C,0.25-N3-b8,16702067774425293557,2.5299999947492324e-05,99,8,84,0,7,8,0.0065063801852591075,0.0008132975231573884,0.0008132975231573884,0.00931100000002516
Mk01-11-0,Mk01,11,0,0.25,14,3,8,3,R0,0.25-N3-b8,10729516434146336519,2.8900000074827403e-05,34,8,23,0,3,8,0.008909333970834024,0.001113666746354253,0.001113666746354253,0.0072210000000723085
Mk01-11-0,Mk01,11,0,0.25,14,3,8,3,R1,0.25-N3-b8,10729516434146336519,4.230000001825829e-05,48,8,35,0,5,8,0.006181332267662576,0.000772666533457822,0.000772666533457822,0.007824799999980314
Mk01-11-0,Mk01,11,0,0.25,14,3,8,3,S,0.25-N3-b8,10729516434146336519,3.500000002532033e-05,131,8,104,0,19,8,0.003485477683842178,0.00043568471048027226,0.00043568471048027226,0.009726599999908103
Mk01-11-0,Mk01,11,0,0.25,14,3,8,3,A,0.25-N3-b8,10729516434146336519,2.5299999947492324e-05,36,8,27,0,1,8,0.012487753582567615,0.0015609691978209518,0.0015609691978209518,0.007647199999951226
Mk01-11-0,Mk01,11,0,0.25,14,3,8,3,C,0.25-N3-b8,10729516434146336519,3.1100000001060835e-05,41,8,30,0,3,8,0.0065063801852591075,0.0008132975231573884,0.0008132975231573884,0.007432899999912479
Mk01-11-0,Mk01,11,0,0.25,14,4,4,0,R0,0.25-N4-b4,5266093144056305619,2.8400000019246363e-05,3,0,3,0,0,3,0.0,0.0,0.0,0.0017771000000266213
Mk01-11-0,Mk01,11,0,0.25,14,4,4,0,R1,0.25-N4-b4,5266093144056305619,4.069999999956053e-05,2,1,1,0,0,3,0.002729671672021764,0.0009098905573405881,0.000682417918005441,0.0023724999999785723
Mk01-11-0,Mk01,11,0,0.25,14,4,4,0,S,0.25-N4-b4,5266093144056305619,3.9600000036443816e-05,3,0,3,0,0,3,0.0,0.0,0.0,0.002494200000001001
Mk01-11-0,Mk01,11,0,0.25,14,4,4,0,A,0.25-N4-b4,5266093144056305619,2.9400000016721606e-05,2,1,1,0,0,3,0.002729671672021764,0.0009098905573405881,0.000682417918005441,0.001969499999972868
Mk01-11-0,Mk01,11,0,0.25,14,4,4,0,C,0.25-N4-b4,5266093144056305619,2.3499999997511622e-05,2,1,1,0,0,3,0.002729671672021764,0.0009098905573405881,0.000682417918005441,0.001969300000041585
Mk01-11-0,Mk01,11,0,0.25,14,4,4,1,R0,0.25-N4-b4,2237671531544604788,2.6099999899997783e-05,2,1,1,0,0,3,0.0,0.0,0.0,0.0019257000000152402
Mk01-11-0,Mk01,11,0,0.25,14,4,4,1,R1,0.25-N4-b4,2237671531544604788,3.939999999147403e-05,3,0,3,0,0,3,0.0,0.0,0.0,0.001736700000037672
Mk01-11-0,Mk01,11,0,0.25,14,4,4,1,S,0.25-N4-b4,2237671531544604788,2.379999989443604e-05,3,0,3,0,0,3,0.0,0.0,0.0,0.0017331999999896652
Mk01-11-0,Mk01,11,0,0.25,14,4,4,1,A,0.25-N4-b4,2237671531544604788,2.380000000812288e-05,2,1,1,0,0,3,0.0011604193257343867,0.00038680644191146224,0.0002901048314335967,0.0019231999999647087
Mk01-11-0,Mk01,11,0,0.25,14,4,4,1,C,0.25-N4-b4,2237671531544604788,2.2800000010647636e-05,2,1,1,0,0,3,0.0011604193257343867,0.00038680644191146224,0.0002901048314335967,0.0019280999999864434
Mk01-11-0,Mk01,11,0,0.25,14,4,4,2,R0,0.25-N4-b4,9444376576372354498,2.4400000029345392e-05,2,1,1,0,0,3,0.0019314945852898294,0.0006438315284299431,0.00048287364632245734,0.002439700000081757
Mk01-11-0,Mk01,11,0,0.25,14,4,4,2,R1,0.25-N4-b4,9444376576372354498,4.6499999939442205e-05,2,1,1,0,0,3,0.0019314945852898294,0.0006438315284299431,0.00048287364632245734,0.0019912999999860403
Mk01-11-0,Mk01,11,0,0.25,14,4,4,2,S,0.25-N4-b4,9444376576372354498,2.5000000050567905e-05,3,0,3,0,0,3,0.0,0.0,0.0,0.0017431999999644177
Mk01-11-0,Mk01,11,0,0.25,14,4,4,2,A,0.25-N4-b4,9444376576372354498,2.3399999918183312e-05,2,2,0,0,0,4,0.0019314945852898294,0.00048287364632245734,0.00048287364632245734,0.0026781000000255517
Mk01-11-0,Mk01,11,0,0.25,14,4,4,2,C,0.25-N4-b4,9444376576372354498,2.2800000010647636e-05,2,1,1,0,0,3,0.0011604193257343867,0.00038680644191146224,0.0002901048314335967,0.0019225000000915315
