state,instance,split,generation,seed,rep,policy,decodes,budget,gain,batches,evaluated,feature_seconds,wall_seconds
Mk05-303-0,Mk05,explore,0,303,1,round,96,96,0.08729621329158926,39,64,0.018878999951994047,0.2888403000033577
Mk05-303-0,Mk05,explore,0,303,1,stop,96,96,0.136614738014329,24,96,0.011553100004675798,0.20221309999760706
Mk05-303-0,Mk05,explore,0,303,1,feedback,96,96,0.09141600984188446,31,77,0.015592699994158465,0.2404778999989503
Mk05-303-0,Mk05,explore,0,303,2,fixed,96,96,0.10488505759535743,24,96,0.01108299997576978,0.19762700000137556
Mk05-303-0,Mk05,explore,0,303,2,round,96,96,0.129123602540115,39,62,0.017844200010586064,0.26839620000100695
Mk05-303-0,Mk05,explore,0,303,2,stop,95,96,0.103198115753891,24,92,0.011126000004878733,0.1901995000007446
Mk05-303-0,Mk05,explore,0,303,2,feedback,96,96,0.16152674316417087,31,73,0.015650899993488565,0.24362660000042524
Mk05-303-9,Mk05,explore,9,303,0,fixed,96,96,0.04313962910366255,25,96,0.011501900000439491,0.21429509999870788
Mk05-303-9,Mk05,explore,9,303,0,round,95,96,0.02514033754728829,37,66,0.017136099988420028,0.2678782000002684
Mk05-303-9,Mk05,explore,9,303,0,stop,96,96,0.04311650330452823,25,90,0.011853600000904407,0.1995059000037145
Mk05-303-9,Mk05,explore,9,303,0,feedback,96,96,0.03160295826860303,31,61,0.015033700015919749,0.21766299999580951
Mk05-303-9,Mk05,explore,9,303,1,fixed,96,96,0.04293349963171732,27,96,0.013102800032356754,0.2262778999938746
Mk05-303-9,Mk05,explore,9,303,1,round,96,96,0.036392663389563526,39,61,0.017827999996370636,0.273254600004293
Mk05-303-9,Mk05,explore,9,303,1,stop,96,96,0.0396182426162654,29,84,0.01325600000564009,0.21816250000119908
Mk05-303-9,Mk05,explore,9,303,1,feedback,96,96,0.03136116295180019,31,80,0.014775500014366116,0.2492454999955953
Mk05-303-9,Mk05,explore,9,303,2,fixed,96,96,0.04112574644976018,24,96,0.010895400017034262,0.19799670000065817
Mk05-303-9,Mk05,explore,9,303,2,round,96,96,0.017532314400771423,37,66,0.01660790002642898,0.2628208999958588
Mk05-303-9,Mk05,explore,9,303,2,stop,96,96,0.04112574644976018,24,96,0.010749300010502338,0.19555620000028284
Mk05-303-9,Mk05,explore,9,303,2,feedback,96,96,0.03697051291258012,30,79,0.015614199990523048,0.2554272999987006
Mk05-303-19,Mk05,explore,19,303,0,fixed,91,96,0.031471460231289924,96,91,0.04378929998347303,0.7730481999969925
Mk05-303-19,Mk05,explore,19,303,0,round,95,96,0.03555916942203119,33,68,0.014882499977829866,0.24675839999690652
Mk05-303-19,Mk05,explore,19,303,0,stop,96,96,0.04383983141743399,25,90,0.01109089999954449,0.1940866000004462
Mk05-303-19,Mk05,explore,19,303,0,feedback,96,96,0.019492356729219874,30,80,0.015101500030141324,0.24116789999970933
Mk05-303-19,Mk05,explore,19,303,1,fixed,76,96,0.01924424473407471,96,76,0.04390030001377454,0.7591475000008359
Mk05-303-19,Mk05,explore,19,303,1,round,96,96,0.04559027060670256,37,68,0.016584600001806393,0.2695531999997911
Mk05-303-19,Mk05,explore,19,303,1,stop,96,96,0.043426423256831805,25,91,0.011183700007677544,0.18605919999390608
Mk05-303-19,Mk05,explore,19,303,1,feedback,96,96,0.022878036649335284,30,84,0.015758299981825985,0.24283760000253096
Mk05-303-19,Mk05,explore,19,303,2,fixed,90,96,0.03489421083473117,96,90,0.043393799947807565,0.7564105999990716
Mk05-303-19,Mk05,explore,19,303,2,round,96,96,0.03327160170275442,39,64,0.018513099959818646,0.27164279999851715
Mk05-303-19,Mk05,explore,19,303,2,stop,96,96,0.034894210834731196,25,90,0.012070800003129989,0.1931987999996636
Mk05-303-19,Mk05,explore,19,303,2,feedback,95,96,0.016867451637097276,29,78,0.01570360001642257,0.25156219999917084
Mk03-101-0,Mk03,validation,0,101,0,fixed,96,96,0.0539910492977727,24,96,0.019778700014285278,0.29969429999619024
Mk03-101-0,Mk03,validation,0,101,0,round,96,96,0.05311808340394706,39,66,0.032839599982253276,0.40132099999755155
Mk03-101-0,Mk03,validation,0,101,0,stop,96,96,0.0539910492977727,24,96,0.01995549999992363,0.29281710000213934
Mk03-101-0,Mk03,validation,0,101,0,feedback,96,96,0.06991734599843279,30,72,0.027511099986440968,0.3510182999962126
Mk03-101-0,Mk03,validation,0,101,1,fixed,96,96,0.06957133936716282,24,96,0.019590400013839826,0.29333480000059353
Mk03-101-0,Mk03,validation,0,101,1,round,96,96,0.05019592266072083,39,64,0.033682599998428486,0.40220390000467887
Mk03-101-0,Mk03,validation,0,101,1,stop,96,96,0.06957133936716282,24,96,0.019998599986138288,0.29349859999638284
Mk03-101-0,Mk03,validation,0,101,1,feedback,96,96,0.07053416610332094,30,82,0.02750620000733761,0.3579692999992403
Mk03-101-0,Mk03,validation,0,101,2,fixed,96,96,0.05727809192092211,24,96,0.020152600001893006,0.296877199994924
Mk03-101-0,Mk03,validation,0,101,2,round,96,96,0.05133802635964147,37,65,0.030869799986248836,0.3871954000060214
Mk03-101-0,Mk03,validation,0,101,2,stop,96,96,0.05727809192092211,24,96,0.02004740000120364,0.29371970000647707
Mk03-101-0,Mk03,validation,0,101,2,feedback,96,96,0.03597126669888627,31,70,0.027955200006545056,0.35084749999805354
Mk03-101-9,Mk03,validation,9,101,0,fixed,96,96,0.02586361346968883,24,96,0.019697499978065025,0.2904343999980483
Mk03-101-9,Mk03,validation,9,101,0,round,96,96,0.021218276168115918,37,67,0.03099980001570657,0.4013766999996733
Mk03-101-9,Mk03,validation,9,101,0,stop,96,96,0.026408881677375963,29,83,0.02458749998913845,0.32839809999859426
Mk03-101-9,Mk03,validation,9,101,0,feedback,96,96,0.03924165829198709,37,82,0.03316900003119372,0.38978579999820795
Mk03-101-9,Mk03,validation,9,101,1,fixed,96,96,0.027220025830925754,24,96,0.020267999985662755,0.2950933000029181
